0.0 19.6666666667 19.6156771655 -0.0509895011 0.0025926865
1.0 20.6666666667 20.8487450601 0.1820783935 0.0088102448
2.0 21.6666666667 21.710964223 0.0442975564 0.0020445026
3.0 22.6666666667 22.6415816093 -0.0250850573 0.0011066937
4.0 23.6666666667 23.6031781455 -0.0634885211 0.0026826136
5.0 24.6666666667 24.592022286 -0.0746443807 0.0030261235
6.0 25.6666666667 25.6013624931 -0.0653041735 0.0025443184
7.0 26.6666666667 26.6242151854 -0.0424514813 0.0015919305
8.0 27.6666666667 27.6533936077 -0.0132730589 0.0004797491
9.0 28.6666666667 28.6817598795 0.0150932128 0.0005265074
10.0 29.6666666667 29.7024753392 0.0358086725 0.0012070339
11.0 30.6666666667 30.7092415322 0.0425748656 0.0013883108
12.0 31.6666666667 31.6965077526 0.029841086 0.0009423501
13.0 32.6666666667 32.6848364677 0.018169801 0.0005562184
14.0 33.6666666667 33.6205208004 -0.0461458663 0.0013706693
15.0 34.6666666667 34.4646577454 -0.2020089213 0.0058271804
16.0 35.6666666667 35.2039211759 -0.4627454908 0.0129741726
17.0 36.6666666667 35.8522934606 -0.8143732061 0.0222101783
