22:08:05,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff
22:09:13,"15488,00","0,00","247,00","0,00","1367,00","0,00","0,00","0,00","0,00"
22:09:14,"6284,00","12,00","1154,00","25,00","56032,00","0,00","0,00","0,00","0,00"
22:09:15,"5596,00","0,00","1637,00","21,00","2614,00","0,00","0,00","0,00","0,00"
22:09:16,"3864,00","0,00","3608,00","15,00","2735,00","0,00","0,00","0,00","0,00"
22:09:17,"5208,00","0,00","15665,00","22,00","11593,00","0,00","0,00","0,00","0,00"
22:09:18,"12436,00","4,00","2236,00","4,00","3186,00","0,00","0,00","0,00","0,00"
22:09:19,"13952,00","104,00","1371,00","0,00","2801,00","0,00","0,00","0,00","0,00"
22:09:20,"15104,00","0,00","971,00","0,00","2486,00","0,00","0,00","0,00","0,00"
22:09:21,"15360,00","0,00","248,00","0,00","1042,00","0,00","0,00","0,00","0,00"
22:09:22,"15360,00","0,00","965,00","0,00","2412,00","0,00","0,00","0,00","0,00"
22:09:23,"15360,00","0,00","969,00","0,00","2366,00","0,00","0,00","0,00","0,00"
22:09:24,"15232,00","0,00","244,00","0,00","903,00","0,00","0,00","0,00","0,00"
22:09:25,"14848,00","12,00","966,00","0,00","2362,00","0,00","0,00","0,00","0,00"
22:09:26,"15232,00","0,00","988,00","0,00","2626,00","0,00","0,00","0,00","0,00"
22:09:27,"14464,00","3560,00","240,00","0,00","9244,00","10590,00","0,00","7477,00","70,60"
22:09:28,"13696,00","4952,00","1047,00","0,00","16980,00","19904,00","0,00","13522,00","67,94"
22:09:29,"13572,00","3628,00","966,00","0,00","16423,00","19506,00","0,00","13510,00","69,26"
22:09:30,"2992,00","408,00","269,00","6,00","121231,00","3620,00","0,00","2633,00","72,73"
22:09:31,"508,00","80,00","941,00","1,00","2077,00","0,00","0,00","0,00","0,00"
22:09:32,"888,00","516,00","839,00","0,00","2147,00","0,00","0,00","0,00","0,00"
22:09:33,"0,00","0,00","143,00","0,00","628,00","0,00","0,00","0,00","0,00"
22:09:34,"4,00","0,00","845,00","0,00","2095,00","0,00","0,00","0,00","0,00"
22:09:35,"0,00","0,00","836,00","0,00","2070,00","0,00","0,00","0,00","0,00"
22:09:36,"0,00","0,00","143,00","0,00","930,00","0,00","0,00","0,00","0,00"
